product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Mini Artículo 1,Descripción detallada del producto 1,1,6,6,483.17,222.26,30.4,true,2022-07-08,2024-08-11
2,SKU-000002,Premium Equipo 2,Descripción detallada del producto 2,2,15,6,243.6,146.16,41.2,true,2022-09-12,2025-01-25
3,SKU-000003,Elite Pack 3,Descripción detallada del producto 3,6,6,5,321.8,167.34,24.9,true,2022-02-08,2024-04-21
4,SKU-000004,Elite Widget 4,Descripción detallada del producto 4,7,6,6,117.56,79.94,22,true,2023-09-29,2024-06-23
5,SKU-000005,Mega Herramienta 5,Descripción detallada del producto 5,2,2,2,142.14,93.81,22.5,true,2022-07-27,2026-01-25
6,SKU-000006,Smart Gadget 6,Descripción detallada del producto 6,2,14,4,121.04,66.57,27.9,true,2023-10-12,2025-01-05
7,SKU-000007,Mega Gadget 7,Descripción detallada del producto 7,8,2,7,402.41,205.23,32.3,true,2022-01-17,2024-04-01
8,SKU-000008,Premium Pack 8,Descripción detallada del producto 8,6,4,6,30.66,20.54,47.5,true,2023-08-09,2024-06-27
9,SKU-000009,Pro Equipo 9,Descripción detallada del producto 9,1,12,6,133.05,77.17,18.8,true,2022-03-27,2024-04-04
10,SKU-000010,Básico Pack 10,Descripción detallada del producto 10,7,2,8,402.34,181.05,9.5,true,2023-06-11,2025-12-13
11,SKU-000011,Premium Kit 11,Descripción detallada del producto 11,8,8,8,147.32,101.65,21.9,true,2023-12-10,2025-06-12
12,SKU-000012,Smart Pack 12,Descripción detallada del producto 12,2,13,2,235.36,115.33,46.9,true,2022-02-28,2024-11-21
13,SKU-000013,Mini Dispositivo 13,Descripción detallada del producto 13,6,2,2,234.45,159.43,6.5,true,2022-05-12,2026-01-23
14,SKU-000014,Smart Set 14,Descripción detallada del producto 14,9,11,7,472.64,212.69,4.6,false,2022-02-18,2025-08-15
15,SKU-000015,Elite Set 15,Descripción detallada del producto 15,6,11,8,371.75,219.33,16.3,true,2022-02-14,2025-07-07
16,SKU-000016,Mini Gadget 16,Descripción detallada del producto 16,2,5,8,465.73,284.1,13.2,true,2022-12-30,2025-02-05
17,SKU-000017,Smart Kit 17,Descripción detallada del producto 17,9,1,6,480.38,240.19,18,true,2022-04-05,2025-04-03
18,SKU-000018,Elite Set 18,Descripción detallada del producto 18,3,8,1,423.15,291.97,42.2,true,2022-07-25,2025-08-04
19,SKU-000019,Básico Artículo 19,Descripción detallada del producto 19,8,15,6,280.77,182.5,31.6,true,2023-04-18,2024-06-02
20,SKU-000020,Super Dispositivo 20,Descripción detallada del producto 20,9,7,3,181.13,121.36,20.6,false,2022-08-06,2024-07-16
21,SKU-000021,Elite Widget 21,Descripción detallada del producto 21,8,3,6,488.47,317.51,25.2,false,2023-06-17,2024-11-14
22,SKU-000022,Mega Gadget 22,Descripción detallada del producto 22,2,5,4,202.6,97.25,47.3,true,2022-11-06,2026-01-30
23,SKU-000023,Básico Artículo 23,Descripción detallada del producto 23,5,7,1,272.6,117.22,14.8,true,2022-10-14,2025-09-13
24,SKU-000024,Max Artículo 24,Descripción detallada del producto 24,1,12,4,217.84,104.56,42.2,false,2023-09-24,2025-03-21
25,SKU-000025,Max Set 25,Descripción detallada del producto 25,4,14,3,144.29,73.59,3.5,true,2023-01-12,2024-06-06
26,SKU-000026,Premium Widget 26,Descripción detallada del producto 26,1,13,3,313.45,169.26,48.3,true,2022-01-05,2025-03-03
27,SKU-000027,Básico Set 27,Descripción detallada del producto 27,9,7,1,345.01,158.7,33.8,true,2022-03-22,2025-08-08
28,SKU-000028,Elite Dispositivo 28,Descripción detallada del producto 28,9,9,2,87.71,42.98,23.3,true,2023-09-19,2025-01-09
29,SKU-000029,Pro Pack 29,Descripción detallada del producto 29,6,14,3,122.88,52.84,29.9,true,2023-10-19,2025-09-25
30,SKU-000030,Super Artículo 30,Descripción detallada del producto 30,10,9,7,70.69,38.88,28.5,true,2022-08-08,2024-12-24
31,SKU-000031,Super Dispositivo 31,Descripción detallada del producto 31,9,8,2,214.73,109.51,5.6,true,2023-09-30,2024-08-18
32,SKU-000032,Max Producto 32,Descripción detallada del producto 32,6,3,4,260.99,146.15,13.8,true,2022-06-15,2024-08-12
33,SKU-000033,Mini Widget 33,Descripción detallada del producto 33,2,3,1,329.42,197.65,44.2,true,2023-06-10,2024-10-27
34,SKU-000034,Premium Dispositivo 34,Descripción detallada del producto 34,8,7,7,59.14,26.61,15.8,true,2023-09-07,2024-03-07
35,SKU-000035,Max Kit 35,Descripción detallada del producto 35,8,1,8,18.87,10.57,39.4,true,2023-05-06,2025-10-20
36,SKU-000036,Premium Pack 36,Descripción detallada del producto 36,2,14,2,74.4,46.13,42.6,true,2022-12-10,2025-07-18
37,SKU-000037,Elite Set 37,Descripción detallada del producto 37,6,14,6,463.79,282.91,26.9,true,2022-06-19,2024-09-28
38,SKU-000038,Ultra Kit 38,Descripción detallada del producto 38,7,14,7,11.87,7.12,4.8,true,2022-12-13,2025-08-27
39,SKU-000039,Smart Pack 39,Descripción detallada del producto 39,8,6,8,461.01,184.4,31.8,true,2022-01-03,2025-03-20
40,SKU-000040,Básico Dispositivo 40,Descripción detallada del producto 40,5,14,7,144.16,69.2,3.7,true,2022-12-10,2024-09-30
41,SKU-000041,Premium Dispositivo 41,Descripción detallada del producto 41,9,5,7,314.73,204.57,22.1,true,2022-03-02,2024-03-30
42,SKU-000042,Smart Pack 42,Descripción detallada del producto 42,9,15,4,10.28,6.58,6,true,2022-10-16,2024-09-06
43,SKU-000043,Básico Kit 43,Descripción detallada del producto 43,5,15,6,250.15,142.59,35.1,true,2023-04-12,2025-02-10
44,SKU-000044,Elite Gadget 44,Descripción detallada del producto 44,3,5,7,71.57,30.78,2.2,true,2022-01-03,2025-08-27
45,SKU-000045,Pro Gadget 45,Descripción detallada del producto 45,1,7,2,444.26,288.77,47,true,2022-04-17,2025-09-01
46,SKU-000046,Super Dispositivo 46,Descripción detallada del producto 46,9,15,8,446.64,303.72,3.4,true,2023-05-06,2024-12-07
47,SKU-000047,Ultra Producto 47,Descripción detallada del producto 47,1,11,6,218.62,135.54,16.4,true,2023-08-27,2025-12-03
48,SKU-000048,Básico Equipo 48,Descripción detallada del producto 48,1,9,6,391.48,262.29,37.7,true,2023-06-11,2024-11-15
49,SKU-000049,Básico Artículo 49,Descripción detallada del producto 49,5,8,8,388.97,268.39,26.2,true,2023-11-22,2025-10-24
50,SKU-000050,Mini Gadget 50,Descripción detallada del producto 50,10,15,2,360.67,144.27,37.1,true,2022-01-09,2025-12-22
51,SKU-000051,Elite Pack 51,Descripción detallada del producto 51,2,5,8,101.56,60.94,28.3,true,2022-08-02,2024-04-01
52,SKU-000052,Mini Producto 52,Descripción detallada del producto 52,7,6,6,403.26,274.22,48.1,true,2023-01-23,2024-05-20
53,SKU-000053,Mega Set 53,Descripción detallada del producto 53,5,12,8,120.42,77.07,18.4,false,2023-10-14,2025-04-09
54,SKU-000054,Elite Dispositivo 54,Descripción detallada del producto 54,10,6,5,375.27,176.38,29.9,true,2022-07-02,2026-02-10
55,SKU-000055,Mega Artículo 55,Descripción detallada del producto 55,1,3,1,205.95,102.98,21.7,true,2023-12-19,2024-04-21
56,SKU-000056,Super Set 56,Descripción detallada del producto 56,10,7,2,180.06,113.44,18.3,false,2022-04-08,2024-08-19
57,SKU-000057,Mega Pack 57,Descripción detallada del producto 57,10,10,6,55.2,30.91,43.3,true,2023-02-19,2025-01-20
58,SKU-000058,Mini Gadget 58,Descripción detallada del producto 58,3,9,1,433.93,256.02,15.8,true,2023-08-03,2025-09-16
59,SKU-000059,Smart Widget 59,Descripción detallada del producto 59,4,12,6,330.91,138.98,38.9,true,2022-08-11,2024-12-06
60,SKU-000060,Mega Artículo 60,Descripción detallada del producto 60,2,12,7,358.88,168.67,46.9,true,2023-06-07,2025-07-09
61,SKU-000061,Mini Equipo 61,Descripción detallada del producto 61,5,14,4,135.79,93.7,36.6,true,2022-05-27,2024-03-17
62,SKU-000062,Ultra Equipo 62,Descripción detallada del producto 62,2,8,5,144.69,63.66,34,true,2022-02-01,2025-03-23
63,SKU-000063,Smart Gadget 63,Descripción detallada del producto 63,4,1,2,229.68,142.4,37.4,true,2023-02-05,2025-12-12
64,SKU-000064,Básico Dispositivo 64,Descripción detallada del producto 64,3,11,1,325.29,175.66,11.6,true,2022-03-02,2024-07-12
65,SKU-000065,Básico Herramienta 65,Descripción detallada del producto 65,5,6,7,72.5,47.13,36.7,true,2022-11-17,2024-12-10
66,SKU-000066,Max Set 66,Descripción detallada del producto 66,4,7,7,384.26,199.82,41.5,true,2022-07-06,2025-03-13
67,SKU-000067,Smart Producto 67,Descripción detallada del producto 67,8,12,2,146.48,79.1,39.6,true,2022-07-28,2025-08-29
68,SKU-000068,Ultra Producto 68,Descripción detallada del producto 68,2,14,4,100.19,52.1,37.7,true,2023-07-07,2024-05-16
69,SKU-000069,Ultra Widget 69,Descripción detallada del producto 69,9,10,3,414.94,215.77,40.5,true,2022-03-14,2025-10-14
70,SKU-000070,Premium Widget 70,Descripción detallada del producto 70,10,15,6,303.87,130.66,11.6,true,2022-01-28,2025-06-05
71,SKU-000071,Elite Dispositivo 71,Descripción detallada del producto 71,9,7,6,77.6,33.37,31.9,true,2022-10-31,2024-09-13
72,SKU-000072,Básico Artículo 72,Descripción detallada del producto 72,10,1,6,152.08,95.81,11.5,true,2023-11-25,2025-05-16
73,SKU-000073,Mega Artículo 73,Descripción detallada del producto 73,3,12,1,487.67,282.85,50,true,2023-04-16,2025-10-28
74,SKU-000074,Smart Equipo 74,Descripción detallada del producto 74,7,6,3,325.4,169.21,41.6,true,2022-02-09,2024-05-25
75,SKU-000075,Pro Herramienta 75,Descripción detallada del producto 75,5,4,3,33.9,22.71,34.7,true,2023-02-22,2024-04-12
76,SKU-000076,Max Producto 76,Descripción detallada del producto 76,9,15,4,273.1,163.86,34.1,true,2023-02-02,2025-12-06
77,SKU-000077,Mega Equipo 77,Descripción detallada del producto 77,7,7,4,112.25,78.58,49.9,false,2023-06-02,2025-07-16
78,SKU-000078,Smart Set 78,Descripción detallada del producto 78,4,3,8,279.16,136.79,14.6,true,2022-01-27,2024-03-17
79,SKU-000079,Smart Artículo 79,Descripción detallada del producto 79,7,10,3,34.53,17.61,10.8,true,2023-01-14,2024-10-03
80,SKU-000080,Super Producto 80,Descripción detallada del producto 80,7,12,8,165.82,111.1,36,false,2022-03-26,2024-04-16
81,SKU-000081,Ultra Dispositivo 81,Descripción detallada del producto 81,5,4,2,499.89,319.93,27.1,true,2022-11-21,2024-06-24
82,SKU-000082,Smart Herramienta 82,Descripción detallada del producto 82,7,3,6,71.64,38.69,19.8,true,2023-06-10,2025-02-16
83,SKU-000083,Mega Gadget 83,Descripción detallada del producto 83,2,14,6,130.62,67.92,35.4,true,2023-06-13,2024-07-29
84,SKU-000084,Pro Dispositivo 84,Descripción detallada del producto 84,5,5,5,397.33,258.26,20.1,true,2022-05-16,2024-08-27
85,SKU-000085,Mega Widget 85,Descripción detallada del producto 85,2,8,2,448.65,278.16,29.3,true,2022-09-14,2025-05-02
86,SKU-000086,Básico Pack 86,Descripción detallada del producto 86,8,4,2,450.1,283.56,42.1,true,2022-02-15,2024-11-09
87,SKU-000087,Mega Gadget 87,Descripción detallada del producto 87,8,4,6,476.96,290.95,48.7,true,2022-09-25,2025-02-21
88,SKU-000088,Pro Artículo 88,Descripción detallada del producto 88,7,3,2,275.64,173.65,36,true,2023-02-15,2026-01-06
89,SKU-000089,Premium Artículo 89,Descripción detallada del producto 89,8,7,1,63.06,44.14,38.2,true,2023-07-07,2025-08-10
90,SKU-000090,Elite Producto 90,Descripción detallada del producto 90,2,10,8,157.77,97.82,46.5,true,2022-07-26,2025-11-04
91,SKU-000091,Mini Producto 91,Descripción detallada del producto 91,8,4,1,196.31,88.34,46.3,false,2023-03-23,2025-01-13
92,SKU-000092,Smart Equipo 92,Descripción detallada del producto 92,10,11,4,34.18,18.8,4.6,true,2023-08-30,2025-08-31
93,SKU-000093,Super Herramienta 93,Descripción detallada del producto 93,2,7,7,266.65,143.99,12,true,2023-08-07,2024-06-24
