review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,68,141,5,Recomendado,El producto es correcto pero la entrega tardó.,false,6,2023-12-10
2,59,47,4,Excelente producto,Bueno pero esperaba un poco más.,false,3,2026-02-10
3,45,377,2,Satisfecho,Cumple con lo prometido.,true,38,2026-02-26
4,4,158,2,Satisfecho,Cumple con lo prometido.,true,5,2024-01-31
5,5,55,4,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",false,2,2023-03-18
6,8,130,4,No tan bueno,Muy buena calidad por el precio.,true,5,2024-06-02
7,23,250,4,Recomendado,Bueno pero esperaba un poco más.,false,47,2024-05-18
8,56,295,1,Muy bueno,Muy buena calidad por el precio.,false,3,2025-10-29
9,11,62,4,Podría mejorar,Llegó a tiempo y en perfecto estado.,true,24,2025-05-11
10,66,320,1,Buena calidad,Bueno pero esperaba un poco más.,true,8,2024-01-09
11,36,210,3,Muy bueno,Excelente relación calidad-precio.,true,24,2025-01-09
12,42,276,3,No tan bueno,No cumplió mis expectativas.,true,7,2023-09-01
13,17,342,4,Excelente producto,El producto es correcto pero la entrega tardó.,false,24,2024-06-23
14,50,164,4,Satisfecho,El producto es correcto pero la entrega tardó.,false,19,2023-12-11
15,35,391,2,Muy bueno,Muy buena calidad por el precio.,true,7,2025-09-04
16,99,257,3,Muy bueno,El producto es correcto pero la entrega tardó.,true,8,2024-02-19
17,54,29,3,Excelente producto,No cumplió mis expectativas.,false,10,2023-07-30
18,55,236,5,Satisfecho,Muy buena calidad por el precio.,true,16,2024-07-29
19,64,225,1,Muy bueno,Llegó a tiempo y en perfecto estado.,false,23,2024-04-05
20,56,259,2,No tan bueno,Excelente relación calidad-precio.,true,0,2023-07-28
21,36,56,5,Recomendado,No cumplió mis expectativas.,true,47,2024-07-13
22,44,274,2,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,35,2024-05-19
23,83,170,3,Muy bueno,"Superó mis expectativas, lo recomiendo totalmente.",true,46,2025-10-24
24,100,388,1,No tan bueno,Bueno pero esperaba un poco más.,true,41,2023-03-04
25,54,266,5,Cumple expectativas,Cumple con lo prometido.,true,35,2024-07-10
26,58,382,1,Excelente producto,Bueno pero esperaba un poco más.,true,18,2024-08-21
27,97,454,2,No tan bueno,No cumplió mis expectativas.,true,43,2024-02-23
28,86,9,2,Podría mejorar,Llegó a tiempo y en perfecto estado.,false,4,2024-02-23
29,68,306,2,Buena calidad,No cumplió mis expectativas.,false,31,2025-09-10
30,34,258,4,Podría mejorar,Bueno pero esperaba un poco más.,true,7,2025-07-16
31,82,65,4,Recomendado,"Superó mis expectativas, lo recomiendo totalmente.",true,5,2023-08-28
32,32,387,3,Cumple expectativas,Bueno pero esperaba un poco más.,false,27,2023-07-12
33,53,26,5,Cumple expectativas,Excelente relación calidad-precio.,true,28,2025-08-11
34,80,91,1,Excelente producto,Llegó a tiempo y en perfecto estado.,true,8,2025-01-08
35,69,6,3,Excelente producto,Bueno pero esperaba un poco más.,true,14,2023-11-28
36,31,52,5,No tan bueno,Llegó a tiempo y en perfecto estado.,false,50,2026-01-26
37,88,276,1,Recomendado,Cumple con lo prometido.,false,17,2024-03-22
38,31,29,1,Podría mejorar,Cumple con lo prometido.,true,10,2024-05-29
39,87,178,2,Muy bueno,Cumple con lo prometido.,true,31,2024-08-11
40,93,188,5,Buena calidad,Bueno pero esperaba un poco más.,false,43,2025-12-20
41,1,292,4,Buena calidad,Llegó a tiempo y en perfecto estado.,true,6,2023-04-21
42,44,474,3,No tan bueno,Bueno pero esperaba un poco más.,true,40,2023-12-24
43,71,229,1,Buena calidad,Muy buena calidad por el precio.,true,35,2024-05-14
44,2,43,4,Satisfecho,"Superó mis expectativas, lo recomiendo totalmente.",true,32,2025-09-08
45,47,158,3,Recomendado,Cumple con lo prometido.,true,34,2025-10-17
46,53,261,2,Recomendado,El producto es correcto pero la entrega tardó.,false,48,2023-01-16
47,87,267,4,Podría mejorar,No cumplió mis expectativas.,true,30,2025-12-08
48,95,348,5,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",true,47,2025-06-08
49,22,227,3,No tan bueno,No cumplió mis expectativas.,true,8,2025-01-11
50,77,75,2,Excelente producto,Llegó a tiempo y en perfecto estado.,false,47,2023-09-01
51,99,371,3,Satisfecho,No cumplió mis expectativas.,false,49,2023-08-22
52,8,344,4,Muy bueno,Cumple con lo prometido.,true,6,2023-09-02
53,50,30,3,No tan bueno,No cumplió mis expectativas.,true,31,2024-07-17
54,96,244,3,Satisfecho,Excelente relación calidad-precio.,false,37,2025-08-19
55,73,203,5,Recomendado,Bueno pero esperaba un poco más.,true,42,2024-10-25
56,3,410,1,Podría mejorar,Excelente relación calidad-precio.,true,37,2023-07-30
57,13,471,2,Excelente producto,Muy buena calidad por el precio.,true,29,2023-05-28
58,93,230,4,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",true,39,2024-04-01
59,19,399,1,Podría mejorar,Bueno pero esperaba un poco más.,true,1,2026-03-04
60,67,284,2,Buena calidad,Cumple con lo prometido.,false,15,2024-05-17
61,74,333,4,Cumple expectativas,El producto es correcto pero la entrega tardó.,true,37,2023-03-13
62,49,485,4,Recomendado,No cumplió mis expectativas.,true,27,2025-04-23
63,46,328,4,Buena calidad,Bueno pero esperaba un poco más.,true,44,2024-03-04
64,31,232,3,Buena calidad,El producto es correcto pero la entrega tardó.,true,27,2025-02-08
65,86,499,4,Satisfecho,Cumple con lo prometido.,false,39,2026-01-12
66,20,243,4,Cumple expectativas,Cumple con lo prometido.,true,2,2024-10-17
67,12,391,2,No tan bueno,Excelente relación calidad-precio.,true,35,2025-11-27
68,53,489,2,Excelente producto,Muy buena calidad por el precio.,true,17,2024-01-22
69,28,93,3,Buena calidad,No cumplió mis expectativas.,true,21,2024-05-08
70,30,345,2,Excelente producto,"Superó mis expectativas, lo recomiendo totalmente.",false,25,2025-04-26
